course_desc,course_number,course_prefix,course_title,dept_name,inst_ipeds,metadata,num_units
"This course covers the principles in the operation of modern automotive brake systems. Further development in new technology, such as computerized Anti-skid Brake Systems (ABS), electronic power brakes, and four-wheel disc brakes will be covered. Repair and service techniques of the complete brake systems will be demonstrated. (Formerly AMT 53)",152,AMT,Brake Systems,AMT,141574,Prerequisites: AMT 100 with a grade of C or better or concurrently enrolled in AMT 100ANDAMT 141 with a grade of C or better or concurrently enrolled in AMT 141ANDAMT 162 with a grade of C or better or concurrently enrolled in AMT 162ANDCompleted or concurrently enrolled in MATH 100ORCompleted or concurrently enrolled in QM 107C or equivalent or higher.; Contact Hours: 8 other,4
"This course is a historical or positional approach to some of the major problems of philosophy such as the existence of God, good and evil, the nature of the human being, the nature of human knowledge, truth, freedom, and morality.",100,PHIL,Introduction to Philosophy:  Survey of Problems,Philosophy,141574,Contact Hours: 3 lecture,3
"Students will produce a variety of value-added food products with retail market potential from locally farmed, raised, cultivated, and sourced produce, meats, poultry, seafood, fish, etc.   Various food preparation, cooking, baking, and preservation techniques will be utilized to create pickles; sauces; vinaigrettes, dressings & marinades; flavored oils & vinegars; condiments, such as mustards, chutneys & compotes; juices; cured, brined, and/or smoked meats, poultry, & seafood; sausages & other charcuterie; and baked goods & preserves, such as quick breads, cookies, curds, jams, & candies.",243,CULN,Farm-to-Retail: Value-Added Product Development,CULN,141574,Prerequisites: CULN 112 with a grade of D or better or concurrently enrolled in CULN 112ORinstructor approval.; Recommended Course Preparation: CULN120- Fundamentals of CookeryCULN150- Fundamentals of Baking; Contact Hours: 7.2 other,3
"This course is an introduction to editing film and video in non-linear digital formats.  Topics will include the grammar of the edit, continuity editing, pacing, timing, integration of graphics, contemporary formats, editing strategies and methodologies, contemporary editing software operation, the manipulation of audio and creation of simple soundtracks.  (Formerly TVPR 151)",151,DMED,Introduction to Film & Video Editing Principles,DMED,141574,Prerequisites: DMED 126 with a grade of C or better or concurrently enrolled in DMED 126ANDDMED 142 with a grade of C or better or concurrently enrolled in DMED 142ORinstructor approval.; Recommended Course Preparation: ENG100- Composition IMATH100- Survey of Mathematics; Contact Hours: 3 lecture,3
"This course is a survey course of general anthropology with a focus on biological anthropology and cultural anthropology. Major topics include human evolution, prehistoric development of culture, recent and contemporary human cultures, and common features and principal variations in cultural behavior.",150,ANTH,Human Adaptations,ANTH,141574,Prerequisites: Placement in ENG 100ORequivalent.; Contact Hours: 3 lecture,3
Introduction to data visualization through practical techniques for turning data into images to produce insight.,263,ICS,Data Visualization,ICS,141574,Prerequisites: ICS 262 with a grade of C or better or concurrently enrolled in ICS 262ORinstructor approval.; Recommended Course Preparation: ICS129- Introduction to Databases; Contact Hours: 3 lecture,3
"This course provides practice in writing clear, effective, well-developed compositions using various modes of development. Students follow a recursive writing process and consider topic, purpose, and audience as they write. They read from a variety of texts to generate ideas for essays and to learn effective methods of drafting, revising, editing, proofreading, and publishing their compositions. Students write essays that have clear ideas, adequate support, logical organization, and correct sentence structure. They learn the principles of expository writing and refine their language skills. Students become efficient readers, effective writers, and critical thinkers.",22,ENG,Introduction to Composition,English,141574,Prerequisites: Placement in ENG 22ORLanguage Arts Division approval.; Contact Hours: 3 lecture,3
"This course focuses on the formal and contextual study of art from selected areas in Africa, the Pacific, and Native America.",290,ART,"The Arts of Africa, Native Americas, and the Pacific",Art,141574,Prerequisites: None.; Contact Hours: 3 lecture,3
"Program organization paradigms, programming environments, implementation of a module from specifications, the C and C++ programming languages.",212,ICS,Program Structure,ICS,141574,Prerequisites: ICS 211 with a grade of C or betterORinstructor approval.; Contact Hours: 3 lecture,3
"This course integrates the foundation level visual interface design skills introduced in ART 229 with technical interface programming skills. Students go through the full creative design process for interaction design of analyzing, planning, designing, coding, testing, and launching a custom designed web standard compliant HTML/CSS static web site for a proposed client. Students document their findings through client documentation and defend their design decisions via presentations and critiques.",249,ART,Interface Design II,Art,141574,Prerequisites: ART 229 with a grade of C or betterORinstructor approval.; Contact Hours: 6 other,3
"Introduction to theories, application of principles, and acquisition of practical skills of educational media relevant to teaching/learning situations in the classroom as well as non-school settings. (Formerly ED 297A)",279,ED,Educational Media and Technology,ED,141574,Prerequisites: Placement in ENG 100ORequivalentORinstructor approval.; Contact Hours: 3 lecture,3
"This course provides an understanding of the theory, diagnosis, service, and safe handling of refrigerants, and repair of automotive heating, ventilation, and air conditioning (HVAC) systems. The course presents the operation and function of vacuum, electrical, refrigeration circuits, and computer controls. Training is provided in the use of tools and equipment while performing diagnostics, repairs, and service on HVAC systems. (Formerly AMT 43)",144,AMT,Heating and Air Conditioning,AMT,141574,Prerequisites: AMT 145 with a grade of C or betterANDAMT 149 with a grade of C or betterANDAMT 241 with a grade of C or betterANDMATH 100 with a grade of C or better or concurrently enrolled in MATH 100ORQM 107C with a grade of C or better or concurrently enrolled in QM 107C or equivalent or higher.; Contact Hours: 8 other,4
"This course will cover policies and procedures of the Automotive Technology (AMT) program, various career opportunities in the automotive field, shop safety, proper use of technical reference manuals, and identifying and proper use of basic hand tools and precision measuring tools.  (Formerly AMT 20)",100,AMT,Introduction to Automotive Technology,AMT,141574,Prerequisites: Completed or concurrently enrolled in MATH 100ORCompleted or concurrently enrolled in QM 107C or equivalent or higher.; Contact Hours: 4 other,2
This course provides hands-on training in the use of spreadsheets on computers to solve accounting problems. Applies previously acquired accounting skills and knowledge. Emphasizes financial and managerial accounting.,255,ACC,Using Excel® in Accounting,Accounting,141574,Prerequisites: ACC 202 with a grade of C or better or concurrently enrolled in ACC 202ANDBUS 101 with a grade of C or better or ICS 100 with a grade of C or better or ICS 101 with a grade of C or betterOREquivalentORInstructor approval.; Contact Hours: 3 lecture,3
"This course facilitates students familiarity with health insurance terminology and the health insurance claims processing cycle. The billing systems are introduced for various healthcare organizations including federal, Veterans Affairs, state, private, and managed care health insurance plans. Legal issues and regulations related to reimbursement are covered.",115,HIT,Reimbursement Methodologies,HIT,141574,Prerequisites: HIT 108 with a grade of C or betterANDHIT 109 with a grade of C or betterORequivalentORinstructor approval.; Recommended Course Preparation: BUS101- Business Info SystemsICS101- Digital Tools for the Information World; Contact Hours: 3 lecture,3
"This course involves extensive practice in preparing and presenting effective public speeches with special emphasis on organization, outlining, audience analysis, analytical reasoning, and delivery skills.",251,SP,Principles of Effective Public Speaking,SP,141574,Prerequisites: ENG 100 with a grade of C or betterORequivalent.; Contact Hours: 3 lecture,3
"This course builds upon knowledge and skills from DMED 211 - Introduction to Film/Video Storytelling & Scriptwriting. Students will generate fiction and non-fiction stories for visual media in various genres. The stories will then be produced in standard professional film and video script and storyboard forms. Emphasis is on dramatic narrative form, including classic act structures, plot, characterization, and visualization. (Formerly TVPR 227)",227,DMED,Advanced Film & Video Storytelling & Scriptwriting,DMED,141574,Prerequisites: DMED 211 with a grade of C or betterORinstructor approval.; Contact Hours: 3 lecture,3
"HAW 201 is a continuation of HAW 102 in which communication skills that include reading, writing, speaking, and listening are further developed. Students will become more proficient in Hawaiian while gaining knowledge of more complex structures.",201,HAW,Intermediate Hawaiian I,HAW,141574,Prerequisites: HAW 102 with a grade of C or betterORequivalentORinstructor approval.; Contact Hours: 4 lecture,4
"This course is an introduction to the engineering design process, including an assigned engineering project and associated skills such as communication, presentation, professional ethics, social responsibility, engineering economics, quality control, computer-aided design, and teamwork.",213,ME,Introduction to Engineering Design,ME,141574,"Prerequisites: PHYS 170 with a grade of C or better.; Contact Hours: 1 lecture, 4 lab",3
Covers the history and development of classical music.  Emphasis is on the music of the western hemisphere from the listener's point of view.,106,MUS,Introduction to Music Literature,MUS,141574,Prerequisites: None.; Contact Hours: 3 lecture,3
"This course is an interdisciplinary course that examines diversity and changes in American values and institutions--political, economic, legal, and social.",201,AMST,American Experience:  Institutions and Movements,AMST,141574,"Prerequisites: None.; Recommended Course Preparation: ENG22- Introduction to CompositionENG24- Reading, Reasoning, & Writing; Contact Hours: 3 lecture",3
