course_desc,course_number,course_prefix,course_title,dept_name,inst_ipeds,metadata,num_units
"This course is an introduction to human biological evolution and the archaeology of culture in the world, prior to AD 1500. (FGA)",151,ANTH,Emerging Humanity,Anthropology,141981,No prerequisites listed.,3
"As an introduction to the subfield of cultural anthropology, this course examines socio-cultural variation on a global scale. Specific topics include economic and political organization, food subsistence and the environment, colonization and globalization, religion, kinship and descent, marriage and family, language and communication, health anthropology, as well as inequities related to gender, class, ethnicity, and racism. The ways in which contemporary anthropology addresses real world issues is a major component of the course. (FGB)",152,ANTH,Culture and Humanity,Anthropology,141981,No prerequisites listed.,3
"This introductory-level class features a multi-disciplinary approach to investigating and interpreting historic archaeological sites, focusing on sites dating from the late 19th century to the present. It includes fieldtrips; guest lectures; field and artifact photography; application of historic archival and photographic materials; training in the use of GPS, instrument mapping, metal detecting, and some excavating; and historic sites recording and historic preservation.",181,ANTH,Archaeological Field Techniques - Historic Archaeology,Anthropology,141981,No prerequisites listed.,3
"Archaeology is the study of past cultures and societies through their material remains. This course explores different types of archaeology and examines theory, methods, and techniques for investigating, reconstructing, interpreting, preserving, and learning from the past. Additionally, the course examines archaeology as a discipline and its varied forms of study, research, and employment.  Class includes a one hour lab per week. (DS)",210,ANTH,Introduction to Archaeology,Anthropology,141981,Pre: ENG 100.,3
"Physical anthropology is a biological science which focuses on adaptations, variability, and the evolution of humans and their nearest relatives, living and fossil. This course serves as an introduction to the field. The areas to be covered include the principles of evolution, biological basis of life, Mendelian and population genetics, human diversity, human (climatic) adaptability, growth and nutrition, biological classification, the biology and behavior of non-human primates (primatology), and the study of primate and human fossils (paleoanthropology).  (DB)",215,ANTH,Biological Anthropology,Anthropology,141981,Pre: ENG 100. Coreq: ANTH 215L.,3
"This course serves as the laboratory study of human and population genetics, human variability, primatology, human osteology, and human and primate paleontology. (DY)",215L,ANTH,Biological Anthropology Lab,Anthropology,141981,Pre: ENG 100. Coreq: ANTH 215 (unless with consent of instructor),1
"This course is intended to be a rigorous survey of the field known alternately as “historical”, “contemporary”, “modern”, “colonial” archaeology. We will cover the historical development of the field, the different theoretical approaches applied by practitioners and the main methodological approaches that distinguish this field from other archaeological disciplines. The course will take a global approach, recognizing the geographic scope of the field.",305,ANTH,Historical Archaeology,Anthropology,141981,Pre: ENG 100.,3
"In both a local and larger global context, students will learn about tourism through an anthropological perspective. Major topics will include sustainability, globalization, climate change, sacred places, cultural preservation, the commodification of culture, Indigenous populations, and the impacts of tourism on local communities. ",316,ANTH,Anthropology of Tourism,Anthropology,141981,Pre: ENG 100.,3
"Examining anthropological materials from Polynesia, Micronesia and Melanesia, this course builds upon ethnographic research in these regions. The course explores the formation and peopling of the islands; subsistence practices and exchange, ideas about health and illness; different social, political, economic, and religious systems; and the history of Western imperialism in the Pacific Islands. Scholarship by Native anthropologists of the Pacific will be key to this course that explores the above topics while paying particularly close attention to the topics of climate change, environmental/food justice, and indigenous social movements.",350,ANTH,Oceania and Climate Change,ANTHROPOLOGY,141981,Pre: ENG 100.,3
"This course examines the concepts, theories and principles related to death, dying and bereavement. An analysis of the needs and concerns of life-threatened individuals and survivors will be conducted. Emphasis will be placed upon effective support and grief recovery skills. Various social, psychological, cultural, and societal perspectives on dying and grief will be investigated.",355,ANTH,"Death, Dying and Bereavement",ANTHROPOLOGY,141981,Recommended: An upper-division course in Anthropology and/or Sociology and one writing-intensive focus course. (Cross-list SOC 355),3
Geographic Information Systems (GIS) have become popular in many industries and multidisciplinary field of study over the past 20 years. Having experience with GIS will broaden the opportunities of the student and challenge them to visualize their environments in new ways. This course is designed to introduce the basic concepts of GIS and implement them with hand on tutorials and lessons.,361,ANTH,Introduction to Geographic Information Systems,ANTHROPOLOGY,141981,Pre: ANTH 210; or ANTH 481; or SCFS 300 (completed or concurrent). (Cross-list SCFS 361),3
"This course brings together theoretical work on sex and gender from gender and women's studies, science studies, philosophy and the social sciences, with archaeological case studies from the forefront of contemporary scholarship. This course emphasizes the experience of people with different cultures of sex/gender in the US, tracing specific historical traditions and examining how different conceptions of sex and gender were mediated when people of different racial, ethnic, and cultural backgrounds came together in the US past. It draws on studies of documentary history and of the material histories explored by archaeologists to examine how some histories come to be taken as normative through their representation in texts, while others may be teased out of other material registers.",363,ANTH,Archaeology of Sex/Gender and Sexuality,ANTHROPOLOGY,141981,Pre: ENG 100.,3
"This course brings together theoretical work on sex and gender from gender and women's studies, science studies, philosophy, and the social sciences, with anthropological and archaeological case studies from the forefront of contemporary scholarship. This course emphasizes the experience of people across the Pacific, tracing specific historical traditions, examining how sex and gender constructs were enacted in the past, and how historic events altered the construction and performance of these identities. The course moves backward in time, beginning with contemporary understandings of sex/gendered identities in Polynesia and the Western Pacific before examining ethnographic and oral traditions, and finally incorporating material culture. The synthesis of these different data sets exemplifies not only how sex and gender constructs change through time and across space, but also how anthropologists take a holistic approach to interpreting these cultural practices.",364,ANTH,Archaeology of Sex and Gender in Oceania,ANTHROPOLOGY,141981,Pre: ENG 100.,3
"This course examines the ways in which disasters, both natural and human driven, affect our communities from a holistic anthropological perspective. Over the course of the semester, we will explore the precipitating factors of disaster, organizations and agencies involved in the response, the effects of displacement, disappearance and death on communities, and dimensions of human rights and resilience in the aftermath of disaster. Emphasis is placed on ways that actors in times of disaster can facilitate communication and support community by drawing from anthropological practices.",365,ANTH,Anthropology of Disaster,ANTHROPOLOGY,141981,Pre: ENG 100.,3
"Anthropology concerns itself with the human past, human present, and human nature. Science fiction reimagines past places, creates alternative present conditions, and predicts future realities regarding human society and nature. It explores topics of interest to the discipline such as dystopian futures due to climate change, war, pandemics, and technology. Both cultural anthropologists and archaeologists are increasingly turning their attention to how humans can avoid a not so distant dystopian future.",366,ANTH,Anthropology of Science Fiction,ANTHROPOLOGY,141981,Pre: ENG 100.,3
"Digital anthropology is a specialized disciplinary area and area of ethnographic research concerned with the impacts of technology on society and on humans in terms of culture and behavior, shaping how we perceive the world around us. Digital anthropology entails the study of a broad range of technology and associated communities. Topics include virtual reality, social media, gaming, various smart mobile devices, artificial intelligence, along with other technologies.  (Cross-list CM 377)",377,ANTH,Digital Anthropology,ANTHROPOLOGY,141981,Pre: ENG 100.,3
"Visual anthropology is an area of expertise within the discipline concerned with the portrayal and understanding of people through visual modes that include artifacts, ethnographic film, photography, performance art, and computer based multi-media. The course provides hands on experience in learning about these specific modes, overviews the history and theory of visual anthropology, and explores ethical considerations regarding the portrayal of “others.” The course additionally explores how media in society, ranging from social media to television, is a powerful medium for conveying the narratives that groups create to advance their views of reality. (Cross-list CM 378)",378,ANTH,Visual Depictions of the Human Experience and Media Power,ANTHROPOLOGY,141981,Pre: ENG 100.,3
"Community-engaged research is necessary for ethical anthropological research that impacts contemporary communities. This course reviews approaches to anthropological research that are designed for, by, and with the communities with whom we work. The course will review how different sub-fields of anthropology have approached research that centers community perspectives and needs.",379,ANTH,Anthropology and Community-Engaged Research,ANTHROPOLOGY,141981,Pre: ENG 100.,3
"Students will learn the techniques of archaeological fieldwork with a focus on the archaeology of pre-European and early post-European contact times in the Hawaiian Islands and the Pacific. Lectures cover the history and settlement patterns of the lands (ahupua‘a) within the district (moku) in which the field site is located (based on archaeology, oral history and archival information), site and artifact types, archaeological field techniques, lab analyses, historic preservation laws, and case studies. Hands-on fieldwork will occur at Native Hawaiian historic sites, primarily of pre-European age, and will include mapping and excavation. (Cross-list HPST 380)",380,ANTH,Field Archaeology: Pre-European Times,ANTHROPOLOGY,141981,Pre: ENG 100,3
"This lab features a multi-disciplinary approach to investigating and interpreting historic archaeological sites, focusing on sites dating from the late 19th century to the present. It includes fieldtrips; guest lectures; field and artifact photography; application of historic archival and photographic materials; training in the use of GPS, instrument mapping, metal detecting, and some excavating; and historic sites recording and historic preservation.",381L,ANTH,Archaeological Field Techniques-Historic Archaeology,ANTHROPOLOGY,141981,Pre: ANTH 210 or ANTH 215.,3
"This course introduces the principles and practices of laboratory techniques and analysis for hypothesis-driven research. Topics will include cataloging and data-basing archaeological materials and the analysis of stone/bone/historical artifacts, ceramics, as well as floral and faunal remains. An emphasis will be on quantitative and qualitative analysis of these different categories of archaeological remains.)",382,ANTH,Archaeological Laboratory Techniques,ANTHROPOLOGY,141981,Pre: ENG 100; and ANTH 210 or ANTH 380 or ANTH 381.,4
"This course introduces students to an overview of the history, philosophy, and current status of museums; legal and ethical issues; and current debates and perspectives about museum practices, including the issues of collection, preservation, and interpretation. Museum professionals join the class as guest speakers and discussants for course topics. Fieldtrips to local museums are also featured.",383,ANTH,Museum Studies,ANTHROPOLOGY,141981,Pre: ENG 100.,3
"This lecture course presents an introduction to human osteology (the study of human bones). The course will cover the basics of skeletal growth, the function of skeletal structures in the human body, the identification of human skeletal elements, standard methods for developing a biological profile (age, sex, stature, ancestry) from skeletal remains, and ways that osteology is important to forensic anthropology, bioarchaeology, physical anthropology, and human evolution. (Cross-list BIOL 384) (DB)",384,ANTH,Human Skeletal Biology,ANTHROPOLOGY,141981,Pre: Any ANTH or BIOL course; biological anthropology course is strongly recommended. Coreq: ANTH 384L (unless with the consent of instructor.),3
This course serves as the laboratory study of human skeletal biology. (Cross-list BIOL 384L) (DY),384L,ANTH,Human Skeletal Biology Lab,ANTHROPOLOGY,141981,Pre: ENG 100; and completion of or concurrent enrollment in ANTH 384.,1
"This course serves as an undergraduate level course covering historic preservation issues and laws on the Federal, State, and local level that regulate the protection and treatment of historic properties.",389,ANTH,Cultural Resource Management,ANTHROPOLOGY,141981,Pre: ENG 100.,3
Museum exhibits educate and entertain. Exhibit settings range from buildings to public spaces and have the power to inspire and move people to gain understanding or deep interest in the topic at hand. Exhibits ultimately tell stories. Anthropological methods and various forms of media are used for depicting these stories. Students in this course will gain hands on experience in applying some of these methods and putting together an exhibit with a borrowed collection. (Cross-list CM 404),404,ANTH,Museum Exhibits and Visual Methods,ANTHROPOLOGY,141981,Pre: Any CM or ANTH class.,3
"This course will explore the evolutionary basis of adaptations, problematize environmentally deterministic views of human variation, and incorporate indigenous and culturally diverse perspectives on the relationships between our bodies and our environments. Central to these discussions will be the role of our current experiences in the Anthropocene, especially with regard to global warming. (DB)",415,ANTH,Human Biocultural Variation,ANTHROPOLOGY,141981,Pre: Any BIOL or ANTH course; ANTH 215 or any biological anthropology course is strongly recommended.,3
"This course will focus on practices including a conscientious and authentic approach to tourism that embraces the culture of Hawai‘i. We will look at the trends in sustainability and tourism including the future of the industry and understanding the impact tourism has on a local and global perspective as well as the economic, political and societal influences the industry faces. There will be offsite visits where students will experience and learn from local practitioners that are promoting sustainability in the tourism industry including the challenges they face as well as the positive impact they are making.",421,ANTH,Sustainability in Tourism,ANTHROPOLOGY,141981,Pre: ENG 100.,3
"From a cross-cultural perspective, medical anthropology is the biocultural study of different understandings of health, approaches to health, and the causes of poor health. This course will explore both Western biomedical and non-Western approaches to disease and illness. It will situate these approaches in a global context and emphasize that health is a human right.",425,ANTH,Medical Anthropology,ANTHROPOLOGY,141981,Pre: ENG 100.,3
"Historically and across the world, societies with various cultural practices and types of political economic organization have been based on different types of food subsistence. This course begins by reviewing types of food getting strategies as they relate to Indigenous peoples’ relationship with their environments and biodiversity. Intensive agriculture is directly related to the displacement of people from land and colonialism. A review of this history of food is foundational for understanding the later development of industrial agriculture as it relates to climate change, diet and illness, food insecurity, zoonotic diseases and pandemics, and socioeconomic disparities. This course examines societal restorative healing practices to the land and the importance of local food production for addressing climate change and promoting human health. (Previously ANTH 480)",427,ANTH,"Health, Food, and Society",ANTHROPOLOGY,141981,Pre: ENG 100.,3
"The discipline of anthropology provides unique methods, tools and insights that can be applied in analyzing, addressing and solving prescient global issues through social entrepreneurship and sustainable development. This course will examine these critical methods and perspectives in historical, cross-cultural, and diverse geographical contexts through an examination of anthropological ethnographies and case studies. The course requires students to develop their own unique set of practical tools for future engagement in social enterprise and sustainable development projects. (Cross-list ECON 433)",433,ANTH,Anthropology of Social Enterprise,ANTHROPOLOGY,141981,Pre: ENG 100.,3
"This course investigates the origins of Pacific peoples and their settlement and adaptation to the islands in Melanesia, Micronesia, and Polynesia. Evidence will be drawn from archaeological sites, artifacts, languages, and oral traditions. (Cross-list HIST/HPST 437) (DH)",437,ANTH,Pacific Archaeology,ANTHROPOLOGY,141981,Pre: ENG 100,3
"This course introduces students to the methods and theories used in the study of past peoples in burial contexts. Here we will explore themes including ethical and compassionate treatment of human remains and applied aspects of bioarchaeology for protection of graves. Contemporary approaches to understanding the experiences of past people, including aspects of diet, health and wellbeing, and violence will also be explored. Emphasis will be placed on the ways in which bioarchaeological training can support stewardship and protection of burial sites and collaborative community research into the past.",456,ANTH,Method and Theory in Bioarchaeology,ANTHROPOLOGY,141981,Pre: ANTH 215/215L or ANTH 384/384L or instructor approval.,3
"This course applies concepts and methods from physical anthropology to problems in human identification. These allow the investigator to determine age, sex, ancestry, diseases, and pathologies found in human remains.  The course also considers DNA testing and its role in the courts.  In addition, a review of actual case studies and a special field trip to the Central Identification Laboratory are also featured.",458,ANTH,Forensic Anthropology,ANTH,141981,Pre: ENG 100.,3
"This course concentrates upon specific forensic anthropology skills in detail, as used by practitioners in the field. Topics include assessment of age, sex, ancestry, stature, trauma, osseous pathology, taphonomic history, methods of individualization/positive identification, and forensic entomology/time since death. The course will include lectures and also feature practical training with osteological specimens. Students will complete a research project on one of the forensic topics covered in the course.",460,ANTH,Advanced Techniques in Forensic Anthropology,ANTH,141981,Pre: ANTH 384 or instructor consent.,3
"Historical survey of archaeology as a discipline; focusing on the theoretical, methodological, and substantive advances that changed archaeology.",469,ANTH,History of Archaeological Thought,ANTH,141981,Pre: ANTH 210 or permission of instructor.,3
"The soils and sediments that archaeological material and features are found within yield invaluable clues as to how sites form and therefore, how people lived in the past). This course introduces the methods of studying archaeological remains from an environmental context in order to reconstruct the relationships between people and the physical environment. Drawing on case studies from different areas of the world, we will examine the nature of sediments and soils from archaeological sites, with particular emphasis on soil micromorphology as a tool for reconstructing human activity and post-depositional alterations. Although we will focus on microscopic analyses, students will learn to use geoarchaeology as a means of framing research questions designed to explore the complexities of both physical and social human-environment interactions in the archaeological record at a variety of different scales.",474,ANTH,Introduction to Geoarchaeology,ANTH,141981,Pre: ANTH 210.,4
"Analysis of archaeologically recovered faunal collections with emphasis on identification and interpretation of nonhuman vertebrate remains. This course concentrates on developing skills to identify and analyze animal bones recovered from archaeological sites and other contexts (forensic, biological, etc.). These skills are valuable for both laboratory and field work, such as quickly determining the presence of human versus non-human remains. A specific emphasis is placed on laboratory projects, including research design, report writing, and oral presentation of project findings.",475,ANTH,The Analysis of Animal Remains,ANTH,141981,Pre: ENG 100; ANTH 215L or ANTH/BIOL 384L is recommended. (Cross-list BIOL 475),3
"Applied anthropology uses the discipline’s methods to identify and apply solutions to real life problems. Students will learn about its history, theories, methods, ethical issues, and applications. The course will focus on how students can put their knowledge into practice by identifying different employment opportunities, ranging from the corporate world to non-profit organizations, in and outside of academia.",481,ANTH,Anthropology in Action and Building a Career,ANTH,141981,Pre: ENG 100 and any ANTH course.,3
"This course will explore Hawaiian prehistory from the time of original settlement of the Islands until the arrival of Captain James. Evidence will be gained from the investigation of archaeological sites, settlements, artifacts, and other physical remains, and from recorded Hawaiian oral traditions. These data will be used to reconstruct ancient Hawaiian life, and ways to trace the development of Hawaiian society.",483,ANTH,Archaeology of Hawai‘i,ANTH,141981,(Cross-list HPST/HIST 483) (DH),3
"An examination of the emergence of the discipline and contemporary theoretical issues and perspectives. Major theories in the study of human nature and culture will be discussed in their historical contexts. Special attention will be given to cultural ecology, structuralism, structural-functionalism, political economy, symbolic anthropology, post-structuralism, reflexive anthropology.",490,ANTH,History and Theory of Anthropology,ANTH,141981,"Pre: ENG 100 and any ANTH course, or instructor consent.",3
Seminar on recent literature in some field (mutually selected by faculty and student) and appropriate alternative research strategies and techniques.,495,ANTH,Research Seminar,ANTH,141981,Pre: ENG 100 and SSCI 210.,3
Topics selected will vary with student interests; emphasis will be on relevancy and application of theory and analysis to problem solving. May be repeated for credit.,98,ANTH,Selected Topics in Anthropology,ANTH,141981,Prerequisites vary based on topic.,3
To be arranged with the instructor.,99,ANTH,Directed Reading and Research,ANTH,141981,Pre: Instructor consent.,3
"With assistance from an applied science Faculty Advisor, students will complete a project based on original or library research related to a particular problem or issue in their chosen field of study. Students will share the results of this learning process with peers and will assist each other in refining communications skills, developing research and information retrieval techniques, and other research-related competencies. A: Creative Media; F: Facilities Management; M: Culinary Management; R: Respiratory Care; X: Sustainable Community Food Systems.",486,APSC,Senior Project,APPLIED SCIENCE,141981,Pre: Consent of instructor; one class of upper division writing intensive course work; and completion of concentration requirements.,3
"With assistance from a faculty advisor, students complete a capstone project based on primary and secondary research related to the health information management profession. Students share the results of this learning process with peers and assist each other in refining communications skills, developing research and information retrieval techniques, and other research-related competencies.",486H,APSC,Senior Project-HIM,APPLIED SCIENCE,141981,"Pre: Consent of instructor; one class of upper-division writing intensive course work; and completion of concentration requirements: HIM 201, HIM 203, HIM 304, HIM 305, HIM 306, HIM 309, HIM 403, HIM 404, HIM 406, HIM 408, HLTH 242, HLTH 243, PUBA 308, and PUBA 477. Coreq: HIM 490.",3
"With assistance from an applied science Faculty Advisor, students will complete a project based on original or library research related to a particular problem or issue in their chosen field of study. Students will share the results of this learning process with peers and will assist each other in refining communications skills, developing research and information retrieval techniques, and other research-related competencies.",486I,APSC,Senior Project-IT,APPLIED SCIENCE,141981,Pre: ENG 200 and ITS 410; completion of or concurrent enrollment in courses to satisfy concentration requirements.,3
