course_desc,course_number,course_prefix,course_title,dept_name,inst_ipeds,metadata,num_units
On-the-job experience in the accounting community. Necessary evaluation reports and meetings with faculty advisor required.,695,ACC,Accounting Internship,Accounting,141574,Prerequisites: consent.; Major Restrictions: ACC majors only.,V
Participation in a group research or creative project under supervision of a faculty member. Only six credits of CINE 399/,399,CINE,Independent Group Project,Cinema,141574,"Prerequisites: CINE 350 and consent; and one of the following: CINE 310 , CINE 315 , CINE 316 , CINE 317 , CINE 321 , CINE 322 , CINE 323 , or CINE 330 .; Repeatable: Up to six credits.; Grade Option: A-F only.; Major Restrictions: SCA majors only.",V
Reading and research in an area of accounting under the direction of faculty member(s).,799,ACC,Directed Reading and Research,Accounting,141574,"Repeatable: 2 times, up to 12 credits.; Grade Option: A-F only.; Major Restrictions: PhD students in Business Administration only.",V
"Adapting the stories, styles, and cultural values of oral tradition storytelling to cinematic narratives.",355,CINE,Oral Tradition to Screenplay,Cinema,141574,Prerequisites: CINE 350; Grade Option: A-F only.; General Education Designation(s): DA,3
"Understanding of complex and critical issues of international corporate governance, financial reporting, and ethical conduct. Includes corporate governance in the U.S., major European markets, and Asia. Emphasis on internal and external stakeholders, regulators, and gatekeepers.",610,ACC,International Corporate Governance,Accounting,141574,Grade Option: A-F only.; Class Standing Restrictions: Graduate students only.,3
"Intensive study of selected topics, genres, filmmakers, or digital media production in the host country in a UH Mānoa-approved study abroad location.",384,CINE,Study Abroad,Cinema,141574,Repeatable: Repeatable one time.; Grade Option: A-F only.,3
Ethical theory and dilemmas as reflected in film and filmmaking. Social responsibility for filmmakers.,460,CINE,Ethics and Film,Cinema,141574,Prerequisites: junior standing and CINE 255 .; Grade Option: A-F only.; Major Restrictions: SCA majors only.,3
"In-depth study of the nature, history, and impact of documentary filmmaking traditions around the world, focusing on the interplay between filmmaker, subject, and audience.",381,CINE,Documentary Studies,Cinema,141574,Prerequisites: CINE 255 or consent.; Grade Option: A-F only.; General Education Designation(s): DH,3
"Theory and fundamental causes of international variations in accounting. Special emphasis on problems such variations create for financial reporting, control, and decision-making within multinational business enterprises.",620,ACC,Global Accounting,Accounting,141574,"Prerequisites: ACC 323 with C- or better, or consent.",3
The Business Environment and Concepts (BEC) section focuses on business concepts and the significance of a CPA’s professional duties and responsibilities within the larger context of the business environment.,603,ACC,CPA Review-The Business Environment and Concepts,Accounting,141574,Grade Option: CR/NC only.,1
"Introduction to data visualization through practical techniques for turning data into images to produce insight. Topics include: information visualization, geospatial visualization, scientific visualization, social network visualization, and medical visualization. Junior standing or higher.",484,CINE,Data Visualization,Cinema,141574,Prerequisites: CINE 215 or ICS 110 (Alpha) or ICS 111 .; Cross-Listed: DATA 484 and ICS 484,3
"Auditing concepts including standards, objectives and ethics for external auditors. Emphasis on reporting standards, internal control, evidence, statistical sampling, IT audits and assurance. Development of professional writing skills is an integral part of this course.",418,ACC,Auditing,Accounting,141574,"Prerequisites: ACC 323 and ACC 409 , both with C- or better.",3
Creating the illusion of life through the principles of 3D animation.,316,CINE,3D Animation,Cinema,141574,Prerequisites: CINE 315; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
Topics of study and critical inquiry in a variety of areas in the cinematic arts. Taught by regular and visiting faculty.,385,CINE,Topics in Cinematic Arts,Cinema,141574,Prerequisites: CINE 255 or consent.; Repeatable: One time on different topics.; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DH,3
"Visual design and development for animated characters and environments. Students will create concept art, character and prop designs, movement styles, backgrounds, and layouts for animation pre-production.",322,CINE,Visual Development for Animation,Cinema,141574,Prerequisites: CINE 216; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
"Accounting process and the application of GAAP to the recognition and measurement of cash, receivables, inventories, property plant and equipment, depreciation and depletion, intangibles, and current liabilities.",321,ACC,Intermediate Financial Accounting I,Accounting,141574,"Prerequisites: ACC 200 and ACC 210 , or BUS 624 (with a minimum grade of C- or better).",3
"Integration of numerous elements of the accounting program. Current accounting issues discussed. Lectures, discussions, case analysis. (B) managerial-tax-ethics; emphasis on instruction in writing; (C) financial-auditing-accounting information systems.",465,ACC,(Alpha) Accounting Capstone,Accounting,141574,Prerequisites: ACC 401 (or concurrent) and ACC 418 (or concurrent) for (B); ACC 418 (or concurrent) for (C).; Grade Option: A-F only.; Major Restrictions: ACC majors only.,2
"The (FAR) section focuses on U.S. GAAP, including concepts and standards for financial statements, typical items in financial statements, specific types of transactions and events, accounting and reporting for governmental and other entities.",604,ACC,CPA Review-The Financial Accounting and Reporting,Accounting,141574,Prerequisites: ACC 323; Grade Option: CR/NC only.,1
Close textual analysis and strategic analysis of global media dynamics with an emphasis on transnational media corporations.,490,CINE,Global Media,Cinema,141574,Prerequisites: CINE 255 or consent.; Grade Option: A-F only.; Frequency of Course (when offered): Fall only.; Major Restrictions: SCA majors only.; General Education Designation(s): DH,3
"Production-intensive course with collaborative as well as individual projects. Theories and application of basic digital cinema productions, including camera, lighting, sound, and editing.",310,CINE,Cinematic Narrative Production,Cinema,141574,Prerequisites: CINE 255 (or concurrent).; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
"Laboratory consists of activities that focus and promote the Air Force way of life. Instruction will include leadership and followership development, teamwork, physical fitness training, and activities designed to build camaraderie and esprit de corps.",101L,AS,Initial Military Training I,Asian Studies,141574,Grade Option: CR/ NC only.; Major Restrictions: open to all majors.,1
Examines estate and gift tax provisions and basic estate planning techniques to save taxes and avoid probate. Overviews generation-skipping transfer taxes and income taxes on estates and trusts.,638,ACC,Estate and Gift Taxation and Planning,Accounting,141574,"Prerequisites: ACC 401 with C- or better, or consent.",2
"Application of narrative principles of character development, story structure, and thematic spine to screenplays for live action and animated short films, television, or transmedia projects. Emphasis on writing instruction.",450,CINE,Advanced Screenwriting,Cinema,141574,Prerequisites: CINE 350; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
"Students develop the ability to manipulate light, shadow, and color within a virtual 3D space. Rendering and cinematography for 3D animation.",317,CINE,"3D Lighting, Camera, and Rendering",Cinema,141574,Prerequisites: CINE 316; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
"Provides students an opportunity to experiment with new mediums while collaborating with artists from different backgrounds, such as art, theatre, dance, film, and animation.",314,CINE,Experimental Art and Animation,Cinema,141574,"Prerequisites: CINE 216 (or concurrent) or ART 113 or CINE 353 / DNCE 353 / THEA 353 (or concurrent) or CINE 356 / DNCE 356 / THEA 356 (or concurrent).; Major Restrictions: SCA, ART, THEA, DNCE, THDN majors only.; Cross-Listed: ART 315 and THEA 314; General Education Designation(s): DA",3
"Students direct a narrative live-action short film from pre- through post-production, learning how to develop a directorial vision and how to implement it through storyboarding, scheduling, and collaborative skill sets.",470,CINE,Directing the Motion Picture,Cinema,141574,"Prerequisites: CINE 310 , CINE 350 and CINE 370 .; Major Restrictions: SCA majors only.; General Education Designation(s): DA",3
"A basic overview of the 3D animation production process, including modeling, texturing, rigging, animation, lighting, and rendering.",215,CINE,Introduction to 3D Animation,Cinema,141574,Prerequisites: CINE 255 (or concurrent).; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
"Fundamentals of producing for independent filmmaking, focusing on business acumen and role of the producer through various stages of production. Topics include proposal writing, script breakdowns, budgeting, scheduling, legal issues, festival strategy, and distribution.",330,CINE,Independent Producing,Cinema,141574,"Prerequisites: CINE 255 ; and one of CINE 215 , CINE 216 , or CINE 310 .; Grade Option: A-F only.; Major Restrictions: SCA majors only.",3
"Creating the illusion of life and expressive movement through the principles of 2D animation: timing, spacing, physics, staging, anatomy, attitude, and acting.",323,CINE,Movement Study for Animation,Cinema,141574,Prerequisites: CINE 216; Grade Option: A-F only.; General Education Designation(s): DA,3
"Comprehensive course in visual styles supporting screen narratives through a study of principles of camera elements, operations, lighting, color and composition. Professional role and responsibilities of cinematographer. Project-oriented.",312,CINE,Cinematography,Cinema,141574,Prerequisites: CINE 310; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
"In-depth examination of tax and accounting research, IRC, and SEC procedures. Extensive practice in issue identification, reading and analyzing primary authority, and communicating results. Business Administration students only.",625,ACC,Accounting and Tax Research,Accounting,141574,"Prerequisites: ACC 460E (or concurrent) with C- or better, or consent.",3
Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part I.,200,ACC,Introduction to Accounting I,Accounting,141574,Grade Option: A-F only.; Class Standing Restrictions: Sophomore standing or higher.,3
"Reading and research of a special area in major under direction of faculty member(s). Project must include statement of objectives, outline of activities planned, results expected, and how they are to be reported and evaluated. Must be approved in advance by the department chair and faculty advisor.",399,ACC,Directed Reading and Research,Accounting,141574,,V
"In-depth study of the auteur theory and specific application to the authors in cinematic arts, such as film directors, animators, or screenwriters.",382,CINE,Authors in Cinematic Arts,Cinema,141574,Prerequisites: CINE 255 or consent.; Repeatable: Repeatable one time on different topics.; Grade Option: A-F only.; General Education Designation(s): DH,3
"Integrates learning through analysis and communication of comprehensive business problems. Stresses research, critical thinking, and analytical and communication skills applied to contemporary accounting and tax issues.",660,ACC,Analysis and Decision-Making,Accounting,141574,"Prerequisites: ACC 625 with C- or better (or concurrent), no waiver.; Corequisites: ACC 648 .",2
"Students will team design, build, and demonstrate video games or related interactive entertainment environments and applications. Topics will include emerging computer science techniques relevant to the development of these types of environments. Junior standing or higher.",487,CINE,Video Game Design and Development,Cinema,141574,Prerequisites: any CINE 215 or ICS 110 (Alpha) or ICS 111 .; Cross-Listed: ICS 485,3
"Basic principles and approaches to costume design for theatre and dance. Visual communication methods, creative process, historical research, and organizational practices.",356,CINE,Costumes I: Beginning Costume Design,Cinema,141574,"Prerequisites: THEA 240 , or consent.; Repeatable: Repeatable one time.; Cross-Listed: DNCE 356 and THEA 356; General Education Designation(s): DA",3
"Provides an overview of accounting research in accounting information systems topics. Specific research studies are examined as to their theoretical basis, design, implications, methodology, relevance, etc. PhD students in Business Administration only.",704,ACC,Research in Accounting Information Systems,Accounting,141574,Grade Option: A-F only.,3
"Analysis and practical knowledge of the documentary process including, but not limited to, research, organization and story structure, shooting, camera coverage, and editing.",405,CINE,Documentary Production,Cinema,141574,"Prerequisites: CINE 310 , CINE 350 , and one of the following: CINE 312 , CINE 330 , CINE 370 , CINE 372 , or CINE 374 .; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA",3
Intensive workshop in focused area of cinematic arts production.,390,CINE,Workshop in Cinematic Arts,Cinema,141574,"Prerequisites: CINE 215 , CINE 216 , or CINE 310 .; Repeatable: Up to six credits.; Grade Option: A-F only.; Major Restrictions: SCA majors only.",V
Intellectual issues in cinematic arts. Conducted by regular and visiting faculty with extensive student participation and scholarly presentation.,485,CINE,Seminar in Cinematic Arts,Cinema,141574,"Prerequisites: CINE 255 and junior standing, or consent.; Repeatable: Repeatable one time on different topics.; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DH",3
Development of advanced receptive and expressive conversational skills in American Sign Language (ASL).,301,ASL,Advanced American Sign Language I,American Sign Language,141574,Prerequisites: ASL 202; Frequency of Course (when offered): Fall only,3
Capstone course for American studies students to undertake a major research-based project.,484,AMST,Senior Capstone Project,American Studies,141574,Prerequisites: consent.; Major Restrictions: AMST majors only.,3
"Laboratory consists of demonstration of leadership and management skills needed to successfully function as an Air Force officer. Instruction will include lessons covering planning, organizational and communication skills, and the ability to use available resources to complete an assigned task.",301L,AS,Intermediate Cadet Leader I,Asian Studies,141574,Prerequisites: must have completed AFROTC Field Training; or consent.; Grade Option: CR/NC only.,1
"Survey of Asian and Asian American representations in American film and television from the silent era to the present, with an emphasis on Orientalism and multiculturalism, as well as performance and spectatorship.",352,AMST,Screening Asian Americans,American Studies,141574,Grade Option: SCA majors: A-F only.; Class Standing Restrictions: junior standing or consent.; Cross-Listed: CINE 352; General Education Designation(s): DH,3
